Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb
Derrick Henry *,TEN,25,RB,15,15,303,1540,16,73,74,5.1,102.7,5
Nick Chubb*,CLE,24,RB,16,16,298,1494,8,62,88,5.0,93.4,3
Christian McCaffrey*+,CAR,23,RB,16,16,287,1387,15,57,84,4.8,86.7,1
Joe Mixon,CIN,23,RB,16,15,278,1137,5,56,41,4.1,71.1,0
Dalvin Cook*,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4
Marlon Mack,IND,23,RB,14,12,247,1091,8,67,63,4.4,77.9,0
Sony Michel,NWE,24,RB,16,14,247,912,7,55,26,3.7,57.0,2
Josh Jacobs,OAK,21,RB,13,13,242,1150,7,53,51,4.8,88.5,1
David Montgomery,CHI,22,RB,16,8,242,889,6,50,55,3.7,55.6,2
Aaron Jones,GNB,25,RB,16,16,236,1084,16,55,56,4.6,67.8,3
Phillip Lindsay,DEN,25,RB,16,16,224,1011,7,38,40,4.5,63.2,0
Todd Gurley,LAR,25,RB,15,15,223,857,12,51,25,3.8,57.1,3
Saquon Barkley,NYG,22,RB,13,13,217,1003,6,45,68,4.6,77.2,1
Adrian Peterson,WAS,34,RB,15,15,211,898,5,41,32,4.3,59.9,3
Mark Ingram*,BAL,30,RB,15,15,202,1018,10,53,53,5.0,67.9,2
